Academic year ending,All recipients Bachelor's,Male Bachelor's,Female Bachelor's,All recipients Master's,Male Master's,Female Master's,All recipients Doctoratea,Male Doctoratea,Female Doctoratea
1966,89,76,13,238,221,17,0,0,0
1967,222,198,24,449,423,26,0,0,0
1968,459,404,55,548,518,30,0,0,0
1969,933,812,121,1012,939,73,0,0,0
1970,1544,1345,199,1459,1324,135,0,0,0
1971,2388,2064,324,1588,1424,164,0,0,0
1972,3402,2941,461,1977,1752,225,0,0,0
1973,4305,3665,640,2113,1888,225,1,0,1
1974,4757,3977,780,2276,1983,293,0,0,0
1975,5039,4083,956,2299,1961,338,0,0,0
1976,5664,4540,1124,2603,2226,377,0,0,0
1977,6426,4887,1539,2798,2332,466,32,27,5
1978,7224,5360,1864,3038,2471,567,121,110,11
1979,8769,6306,2463,3055,2480,575,210,183,27
1980,11213,7814,3399,3647,2883,764,218,197,21
1981,15233,10280,4953,4218,3247,971,232,206,26
1982,20431,13316,7115,4935,3625,1310,220,200,20
1983,24682,15690,8992,5321,3813,1508,286,250,36
1984,32435,20369,12066,6190,4379,1811,295,258,37
1985,39121,24690,14431,7101,5064,2037,310,277,33
1986,42195,27069,15126,8070,5658,2412,399,351,48
1987,39927,26038,13889,8481,5985,2496,450,385,65
1988,34896,23543,11353,9166,6702,2464,515,459,56
1989,30963,21418,9545,9399,6773,2626,613,505,108
1990,27695,19321,8374,9643,6968,2675,705,595,110
1991,25410,17896,7514,9324,6563,2761,800,679,117
1992,24958,17748,7210,9655,6980,2675,869,747,120
1993,24580,17629,6951,10349,7554,2795,880,737,138
1994,24553,17533,7020,10546,7817,2729,903,762,137
1995,24769,17706,7063,10563,7777,2786,997,808,186
1996,24545,17773,6772,10613,7763,2850,920,775,139
1997,25393,18490,6903,10489,7510,2979,909,743,150
1998,27674,20235,7439,11752,8338,3414,927,765,159
2000,37519,26997,10522,14986,9983,5003,861,717,142
2001,43597,31549,12048,16852,11161,5691,830,673,155
2002,49706,36016,13690,16965,11325,5640,809,639,167
2003,57926,42258,15668,19590,13335,6255,867,690,177
2004,59968,44902,15066,20208,13910,6298,948,749,199
2005,54588,42429,12159,18489,13180,5309,1129,905,221
2006,48000,38061,9939,17138,12520,4618,1453,1143,310
2007,42596,34652,7944,16314,12038,4276,1656,1322,332
2008,38922,32038,6884,17151,12555,4596,1786,1386,400
2009,38496,31602,6894,17988,13119,4869,1609,1259,349
2010,40107,32801,7306,18021,13058,4963,1665,1312,353
